2026-06-28 02:18:06,244 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-28 02:18:06,244 | WARNING | aiogram.dispatcher | Sleep for 3.363284 seconds and try again... (tryings = 5, bot id = 8587251551)
2026-06-28 02:18:09,688 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-28 02:18:09,688 | WARNING | aiogram.dispatcher | Sleep for 4.710237 seconds and try again... (tryings = 6, bot id = 8587251551)
2026-06-28 02:18:14,474 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-28 02:18:14,474 | WARNING | aiogram.dispatcher | Sleep for 4.319671 seconds and try again... (tryings = 6, bot id = 8587251551)
2026-06-28 02:18:18,493 | INFO | aiogram.dispatcher | Connection established (tryings = 7, bot id = 8587251551)
2026-06-28 02:18:18,500 | INFO | root | Received audio-like message chat_id=1031126452 voice=True audio=False document=False
2026-06-28 02:18:18,500 | INFO | root | Processing file chat_id=1031126452 original_name=voice_AgADMa4AAgG1-Uk.ogg size=6301238
2026-06-28 02:18:18,876 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-28 02:18:18,876 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8587251551)
2026-06-28 02:18:20,808 | INFO | root | Downloaded Telegram file to C:\Users\E8F7~1\AppData\Local\Temp\tg_voice_b666ac74bf07434398560fcff48f000f.ogg
2026-06-28 02:18:21,557 | INFO | root | Sending audio to Groq: name=tg_voice_b666ac74bf07434398560fcff48f000f.ogg size=6301238 mime_type=audio/ogg
2026-06-28 02:18:22,952 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-28 02:18:22,952 | WARNING | aiogram.dispatcher | Sleep for 4.997821 seconds and try again... (tryings = 7, bot id = 8587251551)
2026-06-28 02:18:25,244 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/audio/transcriptions "HTTP/1.1 200 OK"
2026-06-28 02:18:25,247 | INFO | root | Groq transcription finished, text_length=3592
2026-06-28 02:18:25,634 | INFO | root | Sent transcription to chat_id=1031126452
2026-06-28 02:18:25,637 | INFO | aiogram.event | Update id=104927137 is handled. Duration 7140 ms by bot id=8587251551
2026-06-28 02:18:28,034 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-28 02:18:28,034 | WARNING | aiogram.dispatcher | Sleep for 1.398318 seconds and try again... (tryings = 1, bot id = 8587251551)
2026-06-28 02:18:32,519 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-28 02:18:32,519 | WARNING | aiogram.dispatcher | Sleep for 5.106606 seconds and try again... (tryings = 8, bot id = 8587251551)
2026-06-28 02:18:37,063 | INFO | aiogram.dispatcher | Connection established (tryings = 2, bot id = 8587251551)
2026-06-28 02:18:37,065 | INFO | root | Received audio-like message chat_id=1031126452 voice=True audio=False document=False
2026-06-28 02:18:37,065 | INFO | root | Processing file chat_id=1031126452 original_name=voice_AgAD0aAAAodVAUo.ogg size=24725404
2026-06-28 02:18:37,339 | ERROR | root | Failed to process audio message: Telegram server says - Bad Request: file is too big
Traceback (most recent call last):
  File "C:\C_C++_C#\Vacancies\Voice-assistant\test_whisper.py", line 512, in audio_handler
    await download_telegram_file(bot=bot, file_id=file_id, destination=local_path)
